id,euros
0,18.94312
1,41.51860908
2,23.14547922
3,24.59296045
4,32.12448052
5,12.37529221
6,28.80838204
7,25.22171772
8,12.37529221
9,16.32014796
10,28.80838204
11,28.10219324
12,22.8105444
13,22.8105444
14,25.82721839
15,16.92564862
16,28.80838204
17,38.61487695
18,25.22171772
19,23.22291075
20,9.806494914
21,12.71022704
22,32.61703931
23,10.43525219
24,35.02821264
25,28.80838204
26,32.61703931
27,32.12448052
28,16.92564862
29,2.903732121
30,23.22291075
31,38.53744542
32,28.80838204
33,5.884895776
34,21.27686198
35,29.14331686
36,10.43525219
37,35.6337133
38,16.29689135
39,18.29569832
40,23.14547922
41,31.08335689
42,29.71330719
43,41.51860908
44,38.53744542
45,38.61487695
46,25.22171772
47,9.394128558
48,31.71211416
49,6.490396437
